 format: day,hour,value location:61_128 Start : 20191001 
 23, 0400, 51.000000 
 23, 0500, 52.000000 
 23, 0600, 53.000000 
 23, 0700, 57.000000 
 23, 0800, 65.000000 
 23, 0900, 69.000000 
 23, 1000, 70.000000 
 23, 1100, 70.000000 
 23, 1200, 65.000000 
 23, 1300, 58.000000 
 23, 1400, 68.000000 
 23, 1500, 68.000000 
 23, 1600, 70.000000 
 23, 1700, 72.000000 
 23, 1800, 73.000000 
 23, 1900, 73.000000 
 23, 2000, 76.000000 
 23, 2100, 73.000000 
 23, 2200, 64.000000 
 23, 2300, 62.000000 
 24, 0000, 60.000000 
 24, 0100, 54.000000 
 24, 0200, 46.000000 
 24, 0300, 44.000000 
 24, 0400, 45.000000 
 24, 0500, 43.000000 
 24, 0600, 42.000000 
 24, 0700, 43.000000 
 24, 0800, 46.000000 
 24, 0900, 53.000000 
 24, 1000, 53.000000 
 24, 1100, 52.000000 
 24, 1200, 56.000000 
 24, 1300, 61.000000 
 24, 1400, 60.000000 
 24, 1500, 63.000000 
 24, 1600, 65.000000 
 24, 1700, 68.000000 
 24, 1800, 68.000000 
 24, 1900, 70.000000 
 24, 2000, 71.000000 
 24, 2100, 68.000000 
 24, 2200, 65.000000 
 24, 2300, 58.000000 
 25, 0000, 53.000000 
 25, 0100, 51.000000 
 25, 0200, 45.000000 
 25, 0300, 46.000000 
 25, 0400, 45.000000 
 25, 0500, 49.000000 
 25, 0600, 52.000000 
 25, 0700, 55.000000 
 25, 0800, 65.000000 
 25, 0900, 70.000000 
 25, 1000, 80.000000 
 25, 1100, 85.000000 
 25, 1200, 80.000000 
 25, 1300, 79.000000 
 25, 1400, 75.000000 
 25, 1500, 70.000000 
 25, 1600, 71.000000 
 25, 1700, 70.000000 
 25, 1800, 67.000000 
 25, 1900, 70.000000 
 25, 2000, 73.000000 
 25, 2100, 71.000000 
 25, 2200, 65.000000 
 25, 2300, 62.000000 
 26, 0000, 58.000000 
 26, 0100, 53.000000 
 26, 0200, 53.000000 
 26, 0300, 48.000000 
 26, 0400, 48.000000 
 26, 0500, 52.000000 
 26, 0600, 51.000000 
 26, 0700, 53.000000 
 26, 0800, 56.000000 
 26, 0900, 60.000000 
 26, 1000, 67.000000 
 26, 1100, 68.000000 
 26, 1200, 70.000000 
 26, 1300, 66.000000 
 26, 1400, 66.000000 
 26, 1500, 72.000000 
 26, 1600, 74.000000 
 26, 1700, 74.000000 
 26, 1800, 73.000000 
 26, 1900, 80.000000 
 26, 2000, 82.000000 
 26, 2100, 82.000000 
 26, 2200, 76.000000 
