 format: day,hour,value location:61_128 Start : 20191001 
 28, 1500, 327.000000 
 28, 1600, 233.000000 
 28, 1700, 341.000000 
 28, 1800, 329.000000 
 28, 1900, 326.000000 
 28, 2000, 329.000000 
 28, 2100, 358.000000 
 28, 2200, 92.000000 
 28, 2300, 82.000000 
 29, 0000, 227.000000 
 29, 0100, 263.000000 
 29, 0200, 262.000000 
 29, 0300, 297.000000 
 29, 0400, 305.000000 
 29, 0500, 310.000000 
 29, 0600, 288.000000 
 29, 0700, 275.000000 
 29, 0800, 317.000000 
 29, 0900, 317.000000 
 29, 1000, 326.000000 
 29, 1100, 342.000000 
 29, 1200, 338.000000 
 29, 1300, 318.000000 
 29, 1400, 340.000000 
 29, 1500, 315.000000 
 29, 1600, 287.000000 
 29, 1700, 318.000000 
 29, 1800, 309.000000 
 29, 1900, 329.000000 
 29, 2000, 2.000000 
 29, 2100, 337.000000 
 29, 2200, 5.000000 
 29, 2300, 62.000000 
 30, 0000, 75.000000 
 30, 0100, 101.000000 
 30, 0200, 285.000000 
 30, 0300, 316.000000 
 30, 0400, 302.000000 
 30, 0500, 281.000000 
 30, 0600, 245.000000 
 30, 0700, 236.000000 
 30, 0800, 279.000000 
 30, 0900, 269.000000 
 30, 1000, 305.000000 
 30, 1100, 351.000000 
 30, 1200, 1.000000 
 30, 1300, 349.000000 
 30, 1400, 319.000000 
 30, 1500, 292.000000 
 30, 1600, 294.000000 
 30, 1700, 55.000000 
 30, 1800, 275.000000 
 30, 1900, 337.000000 
 30, 2000, 353.000000 
 30, 2100, 310.000000 
 30, 2200, 43.000000 
 30, 2300, 69.000000 
 31, 0000, 80.000000 
 31, 0100, 177.000000 
 31, 0200, 194.000000 
 31, 0300, 214.000000 
 31, 0400, 216.000000 
 31, 0500, 240.000000 
 31, 0600, 241.000000 
 31, 0700, 239.000000 
 31, 0800, 235.000000 
 31, 0900, 228.000000 
 31, 1000, 219.000000 
 31, 1100, 225.000000 
 31, 1200, 246.000000 
 31, 1300, 246.000000 
 31, 1400, 245.000000 
 31, 1500, 357.000000 
 31, 1600, 57.000000 
 31, 1700, 348.000000 
 31, 1800, 341.000000 
 31, 1900, 307.000000 
 31, 2000, 330.000000 
 31, 2100, 31.000000 
 31, 2200, 14.000000 
 31, 2300, 33.000000 
 Start : 20191101 
 1, 0000, 45.000000 
 1, 0100, 32.000000 
 1, 0200, 36.000000 
 1, 0300, 2.000000 
 1, 0400, 325.000000 
 1, 0500, 146.000000 
 1, 0600, 231.000000 
 1, 0700, 246.000000 
 1, 0800, 340.000000 
 1, 0900, 317.000000 
 1, 1000, 286.000000 
 1, 1100, 328.000000 
 1, 1200, 331.000000 
 1, 1300, 314.000000 
 1, 1400, 320.000000 
 1, 1500, 311.000000 
 1, 1600, 342.000000 
 1, 1700, 339.000000 
 1, 1800, 329.000000 
 1, 1900, 359.000000 
 1, 2000, 357.000000 
 1, 2100, 354.000000 
 1, 2200, 2.000000 
 1, 2300, 338.000000 
 2, 0000, 191.000000 
 2, 0100, 11.000000 
 2, 0200, 150.000000 
 2, 0300, 114.000000 
 2, 0400, 144.000000 
 2, 0500, 217.000000 
 2, 0600, 218.000000 
 2, 0700, 268.000000 
 2, 0800, 333.000000 
 2, 0900, 325.000000 
 2, 1000, 16.000000 
 2, 1100, 9.000000 
 2, 1200, 30.000000 
 2, 1300, 359.000000 
 2, 1400, 310.000000 
 2, 1500, 8.000000 
 2, 1600, 338.000000 
 2, 1700, 336.000000 
 2, 1800, 320.000000 
 2, 1900, 357.000000 
 2, 2000, 341.000000 
 2, 2100, 327.000000 
 2, 2200, 29.000000 
 2, 2300, 30.000000 
 3, 0000, 354.000000 
 3, 0100, 352.000000 
 3, 0200, 330.000000 
 3, 0300, 62.000000 
 3, 0400, 89.000000 
 3, 0500, 98.000000 
 3, 0600, 129.000000 
 3, 0700, 334.000000 
 3, 0800, 336.000000 
 3, 0900, 346.000000 
 3, 1000, 330.000000 
 3, 1100, 324.000000 
 3, 1200, 313.000000 
 3, 1300, 329.000000 
 3, 1400, 335.000000 
 3, 1500, 330.000000 
 3, 1600, 313.000000 
 3, 1700, 339.000000 
 3, 1800, 340.000000 
 3, 1900, 330.000000 
 3, 2000, 354.000000 
 3, 2100, 336.000000 
 3, 2200, 9.000000 
 3, 2300, 35.000000 
 4, 0000, 125.000000 
 4, 0100, 152.000000 
 4, 0200, 187.000000 
 4, 0300, 84.000000 
 4, 0400, 53.000000 
 4, 0500, 179.000000 
 4, 0600, 270.000000 
 4, 0700, 276.000000 
 4, 0800, 300.000000 
 4, 0900, 340.000000 
 4, 1000, 330.000000 
 4, 1100, 297.000000 
 4, 1200, 119.000000 
 4, 1300, 338.000000 
 4, 1400, 335.000000 
 4, 1500, 323.000000 
 4, 1600, 349.000000 
 4, 1700, 329.000000 
 4, 1800, 31.000000 
 4, 1900, 13.000000 
 4, 2000, 14.000000 
 4, 2100, 331.000000 
 4, 2200, 9.000000 
 4, 2300, 112.000000 
 5, 0000, 156.000000 
 5, 0100, 163.000000 
 5, 0200, 277.000000 
 5, 0300, 290.000000 
 5, 0400, 288.000000 
 5, 0500, 301.000000 
 5, 0600, 299.000000 
 5, 0700, 251.000000 
 5, 0800, 280.000000 
 5, 0900, 318.000000 
 5, 1000, 319.000000 
 5, 1100, 288.000000 
 5, 1200, 334.000000 
 5, 1300, 351.000000 
 5, 1400, 329.000000 
 5, 1500, 338.000000 
 5, 1600, 347.000000 
 5, 1700, 342.000000 
 5, 1800, 308.000000 
 5, 1900, 18.000000 
 5, 2000, 335.000000 
 5, 2100, 12.000000 
 5, 2200, 314.000000 
 5, 2300, 70.000000 
 6, 0000, 57.000000 
 6, 0100, 70.000000 
 6, 0200, 61.000000 
 6, 0300, 119.000000 
 6, 0400, 209.000000 
 6, 0500, 280.000000 
 6, 0600, 265.000000 
 6, 0700, 257.000000 
 6, 0800, 278.000000 
 6, 0900, 271.000000 
 6, 1000, 234.000000 
 6, 1100, 345.000000 
 6, 1200, 52.000000 
 6, 1300, 35.000000 
 6, 1400, 68.000000 
 6, 1500, 325.000000 
 6, 1600, 15.000000 
 6, 1700, 337.000000 
 6, 1800, 316.000000 
 6, 1900, 348.000000 
 6, 2000, 340.000000 
 6, 2100, 320.000000 
 6, 2200, 44.000000 
 6, 2300, 340.000000 
 7, 0000, 334.000000 
 7, 0100, 350.000000 
 7, 0200, 292.000000 
 7, 0300, 280.000000 
 7, 0400, 281.000000 
 7, 0500, 287.000000 
 7, 0600, 280.000000 
 7, 0700, 288.000000 
 7, 0800, 291.000000 
 7, 0900, 22.000000 
 7, 1000, 18.000000 
 7, 1100, 11.000000 
 7, 1200, 333.000000 
 7, 1300, 355.000000 
 7, 1400, 348.000000 
 7, 1500, 1.000000 
 7, 1600, 355.000000 
 7, 1700, 1.000000 
 7, 1800, 355.000000 
 7, 1900, 7.000000 
 7, 2000, 346.000000 
